id,title,description,availability,condition,price,link,image_link,brand,additional_image_link,age_group,color,gender,item_group_id,google_product_category,material,inventory,pattern,product_type,sale_price,sale_price_effective_date,shipping,shipping_weight,size,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
8867,boligrafo siena 014b morado,bolígrafo de plástico traslúcido. mecanismo de click.,in stock,new,4.65 MXN,https://printec.mx/product/boligrafo-siena/,https://www.doblevela.com/images/large/014B_lrg.jpg,014B A090415,https://www.doblevela.com/images/large/014B_lrg.jpg,,"morado,verde",unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Plástico,18556,SIENA,BOLÍGRAFOS PLÁSTICOS,4.65 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 13.5 x 1.3 cm,"Unidad x Empaque: 1,000.00",Características caja master medida: 29.5 x 22 x 50 cm,Características caja master peso: 12,
8904,lapiz de madera c/arillo y goma 1024 blanco,lápiz de madera con goma blanca.,in stock,new,3.03 MXN,https://printec.mx/product/lapiz/,https://www.doblevela.com/images/large/1024_lrg.jpg,1024 A090536,https://www.doblevela.com/images/large/1024_lrg.jpg,,"blanco,blanco,azul,azul,rojo,rojo,plata,plata,negro,negro",unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Madera,174735,LAPIZ,LAPICES,3.03 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 18.9 x 0.8 cm,"Unidad x Empaque: 1,728.00",Características caja master medida: 45.5 x 20.8 x 28 cm,Características caja master peso: 13,
8783,boligrafo cooper 1103 amarillo,bolígrafo de plástico  cuerpo blanco  detalle de anillo en color. mecanismo de click.,in stock,new,3.66 MXN,https://printec.mx/product/boligrafo-cooper/,https://www.doblevela.com/images/large/1103_lrg.jpg,1103 A090041,https://www.doblevela.com/images/large/1103_lrg.jpg,,"amarillo,rojo,negro,naranja,verde",unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Plástico,20273,COOPER,BOLÍGRAFOS PLÁSTICOS,3.66 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 14.3 x 1 cm,"Unidad x Empaque: 1,000.00",Características caja master medida: 31 x 18 x 42 cm,Características caja master peso: 9,
8787,boligrafo soft 1104 amarillo,bolígrafo de plástico de cuerpo blanco  detalle de acordeón en color. mecanismo de click.,in stock,new,3.40 MXN,https://printec.mx/product/boligrafo-soft/,https://www.doblevela.com/images/large/1104_lrg.jpg,1104 A090047,https://www.doblevela.com/images/large/1104_lrg.jpg,,"amarillo,rojo,azul",unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Plástico,0,SOFT,BOLÍGRAFOS PLÁSTICOS,3.40 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 14.3 x 1 cm,"Unidad x Empaque: 1,000.00",Características caja master medida: 18 x 31 x 42 cm,Características caja master peso: 8,
8792,boligrafo cyprus 1108 verde,bolígrafo plástico con cuerpo en color blanco  grip antideslizante y clip de color. mecanismo de click.,in stock,new,3.52 MXN,https://printec.mx/product/boligrafo-cyprus/,https://www.doblevela.com/images/large/1108_lrg.jpg,1108 A090052,https://www.doblevela.com/images/large/1108_lrg.jpg,,"verde,rojo,azul,negro,naranja",unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Plástico,8234,CYPRUS,BOLÍGRAFOS PLÁSTICOS,3.52 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 13.2 x 1.3 cm,"Unidad x Empaque: 1,000.00",Características caja master medida: 31 x 22 x 52.5 cm,Características caja master peso: 11,
8798,boligrafo orion 1110 amarillo,bolígrafo de plástico cuerpo blanco  tapón y clip de color. mecanismo de click.,in stock,new,2.78 MXN,https://printec.mx/product/boligrafo-orion/,https://www.doblevela.com/images/large/1110_lrg.jpg,1110 A090058,https://www.doblevela.com/images/large/1110_lrg.jpg,,"amarillo,verde,rojo,azul,negro,naranja",unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Plástico,23624,ORION,BOLÍGRAFOS PLÁSTICOS,2.78 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 14.5 x 1 cm,"Unidad x Empaque: 1,000.00",Características caja master medida: 31 x 19 x 42 cm,Características caja master peso: 8,
8807,boligrafo basic 1115 amarillo,bolígrafo básico  línea económica  cuerpo blanco sólido con tapa y tapón en color.,in stock,new,2.14 MXN,https://printec.mx/product/boligrafo-cyprus-2/,https://www.doblevela.com/images/large/1115_lrg.jpg,1115 A090075,https://www.doblevela.com/images/large/1115_lrg.jpg,,"amarillo,azul claro,rojo,blanco,azul,verde,negro,naranja",unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Plástico,50161,BASIC,BOLÍGRAFOS PLÁSTICOS,2.14 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 14.9 x 0.8 cm,"Unidad x Empaque: 1,000.00",Características caja master medida: 33 x 16 x 37 cm,Características caja master peso: 6.2,
8816,boligrafo zebra 1134 naranja,bolígrafo de plástico  cuerpo blanco  con franjas de color traslúcido. mecanismo de click.,in stock,new,3.85 MXN,https://printec.mx/product/boligrafo-zebra/,https://www.doblevela.com/images/large/1134_lrg.jpg,1134 A090112,https://www.doblevela.com/images/large/1134_lrg.jpg,,"naranja,verde,rojo,azul,negro",unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Plástico,2859,ZEBRA,BOLÍGRAFOS PLÁSTICOS,3.85 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 14 x 1.2 cm,"Unidad x Empaque: 1,000.00",Características caja master medida: 31 x 22.5 x 47.5 cm,Características caja master peso: 10.5,
8830,boligrafo tech 1401 amarillo,bolígrafo de plástico en colores traslúcidos  con goma antideslizante y punta cromada. mecanismo de click.,in stock,new,4.29 MXN,https://printec.mx/product/boligrafo-tech/,https://www.doblevela.com/images/large/1401_lrg.jpg,1401 A090122,https://www.doblevela.com/images/large/1401_lrg.jpg,,"amarillo,naranja,rosa,azul claro,blanco,morado,verde,rojo,azul,negro",unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Plástico,0,TECH,BOLÍGRAFOS PLÁSTICOS,4.29 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 13.7 x 1.3 cm,"Unidad x Empaque: 1,000.00",Características caja master medida: 30 x 32 x 54.5 cm,Características caja master peso: 13,
8833,boligrafo smooth 1411 transparente,bolígrafo de plástico traslúcido. mecanismo de click.,in stock,new,3.66 MXN,https://printec.mx/product/boligrafo-smooth/,https://www.doblevela.com/images/large/1411_lrg.jpg,1411 A090148,https://www.doblevela.com/images/large/1411_lrg.jpg,,transparente,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Plástico,0,SMOOTH,BOLÍGRAFOS PLÁSTICOS,3.66 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 13.5 x 1 cm,"Unidad x Empaque: 1,000.00",Características caja master medida: 30 x 20 x 51 cm,Características caja master peso: 10,
12214,boligrafo ice 1471 rojo,bolígrafo de plástico traslucido. mecanismo de click.,in stock,new,4.24 MXN,https://printec.mx/,https://www.doblevela.com/images/large/1471_lrg.jpg,1471 A090277,https://www.doblevela.com/images/large/1471_lrg.jpg,,rojo,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,,0,ICE,,4.24 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 31 x 20 x 48 cm,Unidad x Empaque: 1000,Características caja master medida: 31 x 20 x 48 cm,Características caja master peso: 10 kg,
8843,boligrafo slim 1478 azul,bolígrafo plástico con terminado mate  con punta y clip en acabado metálico. mecanismo retráctil.,in stock,new,7.30 MXN,https://printec.mx/product/boligrafo-slim/,https://www.doblevela.com/images/large/1478_lrg.jpg,1478 A090315,https://www.doblevela.com/images/large/1478_lrg.jpg,,"azul,blanco,negro",unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Plástico,30004,SLIM,BOLÍGRAFOS PLÁSTICOS,7.30 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 13.2 x 0.9 cm,"Unidad x Empaque: 1,000.00",Características caja master medida: 30 x 16 x 37 cm,Características caja master peso: 8,
8844,boligrafo luxemburg 1481 plateado,bolígrafo de plástico en color metalizado y clip de metal. mecanismo de click.,in stock,new,3.88 MXN,https://printec.mx/product/boligrafo-luxermburgo/,https://www.doblevela.com/images/large/1481_lrg.jpg,1481 A090323,https://www.doblevela.com/images/large/1481_lrg.jpg,,plata,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Plástico,4,LUXEMBURG,BOLÍGRAFOS PLÁSTICOS,3.88 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 13.8 x 1.2 cm,"Unidad x Empaque: 1,000.00",Características caja master medida: 31 x 20 x 48 cm,Características caja master peso: 12,
8848,boligrafo starfrost 1482 morado,bolígrafo de plástico  cuerpo traslúcido y detalles en color. mecanismo de click.,in stock,new,3.35 MXN,https://printec.mx/product/boligrafo-starfrost/,https://www.doblevela.com/images/large/1482_lrg.jpg,1482 A090331,https://www.doblevela.com/images/large/1482_lrg.jpg,,"morado,verde",unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Plástico,0,STARFROST,BOLÍGRAFOS PLÁSTICOS,3.35 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 13.8 x 1.2 cm,"Unidad x Empaque: 1,000.00",Características caja master medida: 31 x 22 x 58 cm,Características caja master peso: 13,
8849,boligrafo c/luz y laser 2108 plateado,bolígrafo metálico con luz y señalador láser  ideal para presentaciones. presentación: estuche de aluminio en color plata. incluye 3 pilas en uso y 3 pilas de repuesto.,in stock,new,77.11 MXN,https://printec.mx/product/boligrafo-laser/,https://www.doblevela.com/images/large/2108_lrg.jpg,2108 A090337,https://www.doblevela.com/images/large/2108_lrg.jpg,,plata,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Cobre/Aluminio,1304,LASER,BOLÍGRAFOS MULTIFUNCION,77.11 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 13 x 1 cm,Unidad x Empaque: 100,Características caja master medida: 23.5 x 23.5 x 39 cm,Características caja master peso: 7.2,
8854,boligrafo metalico premier 2110 verde,bolígrafo delgado de aluminio  con punta cromada. mecanismo de click.,in stock,new,12.60 MXN,https://printec.mx/product/boligrafo-premier/,https://www.doblevela.com/images/large/2110_lrg.jpg,2110 A090345,https://www.doblevela.com/images/large/2110_lrg.jpg,,"verde,rojo,azul,negro,rosa,plata,blanco,naranja,morado",unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Aluminio,36,PREMIER,BOLÍGRAFOS METÁLICOS,12.60 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 13.6 x 1 cm,Unidad x Empaque: 500,Características caja master medida: 18 x 15 x 55 cm,Características caja master peso: 10,
8718,set termo de viaje con estuche  filadelfia 2tt5838 negro,estuche de viaje con recipientes térmicos  correa ajustable  interior plastificado  bolsas de malla y cierre. incluye: un termo con tapa-vaso de rosca. cap. 500 ml. dos tazas térmicas cap. 200 ml. y dos cucharas de acero inoxidable. estuche de poliéster.,in stock,new,467.46 MXN,https://printec.mx/product/estuche-filadelfia/,https://www.doblevela.com/images/large/2TT5838_lrg.jpg,2TT5838 A040291,https://www.doblevela.com/images/large/2TT5838_lrg.jpg,,"negro,negro",unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Acero Inoxidable/Poliéster,907,FILADELFIA,TERMOS,467.46 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: TER Ø 7 x 27 cm TZ Ø 8 x 7 cm,Unidad x Empaque: 20,Características caja master medida: 76 x 40 x 23 cm,Características caja master peso: 14,
